2018-05-23 10:21:34 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:55362]
2018-05-23 10:21:34 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1527040316,msgId:10843,body:{"text":"hello","type":1,"uuid":"A6990F8B-5463-4886-A1AA-FB7840DA374B"}
2018-05-23 10:21:34 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1527040463,msgId:10847,body:{"ack_msg_id":10846,"ack_uuid":"73395AAC-5639-4E7B-8FB0-47E83AF1F970","status":2,"type":20,"uuid":"B3A04172-D81F-428E-8AD9-59AC145DAE74"}
2018-05-23 10:23:08 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:read tcp 192.168.31.74:62310->192.168.31.41:55362: read: connection reset by peer
2018-05-23 10:23:08 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 10:23:08 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 10:23:14 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:55438]
2018-05-23 10:23:14 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1527040316,msgId:10843,body:{"text":"hello","type":1,"uuid":"A6990F8B-5463-4886-A1AA-FB7840DA374B"}
2018-05-23 10:23:14 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1527040463,msgId:10847,body:{"ack_msg_id":10846,"ack_uuid":"73395AAC-5639-4E7B-8FB0-47E83AF1F970","status":2,"type":20,"uuid":"B3A04172-D81F-428E-8AD9-59AC145DAE74"}
2018-05-23 10:23:14 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1527042135,msgId:10850,body:{"ack_msg_id":10848,"ack_uuid":"3DC657C8-EFB3-45B8-A32F-C8C887700D2F","status":2,"type":20,"uuid":"AAC2A380-DF12-4C63-8BD6-7AA465413517"}
2018-05-23 10:23:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:25:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:26:35 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-23 10:26:35 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-23 10:26:35 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-23 10:26:35 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-23 10:27:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:29:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:31:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:33:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:35:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:37:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:39:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:41:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:43:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:45:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:47:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:49:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:51:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:53:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:55:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:57:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 10:59:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:01:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:03:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:05:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:07:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:09:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:11:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-23 11:13:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
