2018-05-19 10:23:45 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63728]
2018-05-19 10:24:02 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10002 cmd:4
2018-05-19 10:24:51 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-19 10:26:49 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-19 10:28:04 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:28:04 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:28:04 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-19 10:28:04 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-19 10:28:30 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63746]
2018-05-19 10:29:00 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:29:00 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:29:00 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-19 10:29:00 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-19 10:29:19 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63761]
2018-05-19 10:29:54 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:29:54 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:29:54 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-19 10:29:54 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-19 10:40:29 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63833]
2018-05-19 10:41:14 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:read tcp 192.168.31.74:62310->192.168.31.41:63833: read: connection reset by peer
2018-05-19 10:41:14 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-19 10:41:14 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-19 10:42:18 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63862]
2018-05-19 10:42:36 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:42:36 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:42:36 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-19 10:42:36 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-19 10:42:38 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63863]
2018-05-19 10:42:43 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:42:43 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:42:43 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-05-19 10:42:43 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-05-19 10:42:44 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63864]
2018-05-19 10:43:08 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:43:08 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:43:08 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-05-19 10:43:08 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-05-19 10:44:16 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:63865]
2018-05-19 10:44:21 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-19 10:44:36 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:44:36 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:44:36 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-05-19 10:44:36 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-05-19 10:49:23 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64055]
2018-05-19 10:49:48 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:49:48 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:49:48 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-05-19 10:49:48 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-05-19 10:49:59 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64146]
2018-05-19 10:50:03 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:50:03 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:50:03 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-05-19 10:50:03 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-05-19 10:50:06 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64147]
2018-05-19 10:51:24 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:51:24 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:51:24 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-19 10:51:24 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-19 10:51:41 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64242]
2018-05-19 10:51:42 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:51:42 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:51:42 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-05-19 10:51:42 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-05-19 10:51:46 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64243]
2018-05-19 10:51:47 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:51:47 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:51:47 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-19 10:51:47 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-19 10:51:49 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64244]
2018-05-19 10:51:49 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-19 10:51:49 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-19 10:51:49 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-19 10:51:49 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-19 10:51:59 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:64245]
2018-05-19 10:52:01 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10002 cmd:4
2018-05-19 10:52:12 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:50951]
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526630776,msgId:10283,body:msg1526630776
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526633934,msgId:10285,body:msg1526633934
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635937,msgId:10287,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635993,msgId:10288,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635993,msgId:10289,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635993,msgId:10290,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635993,msgId:10291,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635993,msgId:10292,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635993,msgId:10293,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635993,msgId:10294,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635998,msgId:10295,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635999,msgId:10296,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526635999,msgId:10297,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526636000,msgId:10298,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526636000,msgId:10299,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526636000,msgId:10300,body:{"type":0}
2018-05-19 10:52:15 	 [DEBUG] 	 <client_im.go:98>  	 offline msg :sender:10001,receiver:10002,timestamp:1526636000,msgId:10301,body:{"type":0}
