2018-06-17 13:23:34 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:52739]
2018-06-17 13:23:34 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-17 13:24:56 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-17 13:24:56 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-17 13:24:56 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-17 13:24:56 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-17 13:25:02 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:52783]
2018-06-17 13:25:02 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-17 13:27:02 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-17 13:27:10 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-17 13:27:10 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-17 13:27:10 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-17 13:27:10 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-17 13:27:16 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:52825]
2018-06-17 13:27:16 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-17 13:29:17 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-17 13:29:26 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-17 13:29:26 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-17 13:29:26 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-17 13:29:26 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-17 13:29:37 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:52867]
2018-06-17 13:29:37 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-17 13:30:40 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-17 13:30:40 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-17 13:30:40 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-17 13:30:40 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-17 13:30:51 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:52908]
2018-06-17 13:30:51 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-17 13:32:51 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-17 13:33:49 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-17 13:33:49 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-17 13:33:49 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-17 13:33:49 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-17 13:36:09 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:52992]
2018-06-17 13:36:09 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-17 13:38:09 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-17 13:38:13 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-17 13:38:13 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-17 13:38:13 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-17 13:38:13 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-17 13:38:24 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53034]
2018-06-17 13:38:24 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-17 13:40:25 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-17 13:40:33 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-17 13:40:33 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-17 13:40:33 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-17 13:40:33 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-17 13:40:39 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53075]
2018-06-17 13:40:39 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-17 13:41:21 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-17 13:41:21 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-17 13:41:21 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-17 13:41:21 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-17 13:41:32 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53118]
2018-06-17 13:41:32 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-17 13:42:33 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-17 13:42:33 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-17 13:42:33 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-17 13:42:33 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-17 13:42:43 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53160]
2018-06-17 13:42:43 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
