2018-05-25 09:48:45 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:49622]
2018-05-25 09:49:10 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-25 09:49:10 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-25 09:49:10 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-05-25 09:49:10 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-05-25 09:59:17 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:49667]
2018-05-25 09:59:57 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-25 09:59:57 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-25 09:59:57 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-05-25 09:59:57 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-05-25 11:14:08 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:49925]
2018-05-25 11:14:12 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-05-25 11:14:30 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-25 11:14:30 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-25 11:14:30 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-25 11:14:30 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-25 11:16:42 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:50008]
2018-05-25 11:16:47 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-05-25 11:16:50 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-05-25 11:17:07 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-25 11:17:07 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-25 11:17:07 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-25 11:17:07 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-25 11:21:18 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:50137]
2018-05-25 11:21:21 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-25 11:21:21 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-25 11:21:21 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-25 11:21:21 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-25 11:22:13 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:50179]
2018-05-25 11:22:14 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-05-25 11:22:25 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-25 11:22:25 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-25 11:22:25 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-25 11:22:25 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-25 11:22:32 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:50221]
2018-05-25 11:23:58 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-25 11:23:58 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-25 11:23:58 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-25 11:23:58 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-25 11:24:04 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:50264]
2018-05-25 11:26:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-25 11:28:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-25 11:30:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-25 11:32:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-25 11:34:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-25 11:36:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-25 11:38:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-25 11:40:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-25 11:42:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-25 11:42:18 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-25 11:42:18 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-25 11:42:18 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-25 11:42:18 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-25 11:56:55 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:50290]
2018-05-25 11:56:55 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-25 11:58:00 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-25 11:58:00 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-25 11:58:00 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-25 11:58:00 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-25 12:43:27 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:50415]
