2018-06-19 01:38:02 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-19 01:39:43 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 01:39:43 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 01:39:43 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 01:39:43 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 01:39:54 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53330]
2018-06-19 01:39:54 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 01:40:11 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 01:40:11 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 01:40:11 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 01:40:11 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 01:40:21 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53346]
2018-06-19 01:40:21 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 01:40:36 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 01:40:36 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 01:40:36 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-19 01:40:36 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-19 01:40:49 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:53361]
2018-06-19 01:40:49 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-19 01:41:49 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-19 01:41:49 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-19 01:41:49 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
