2018-06-26 00:01:21 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-26 00:03:22 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-26 00:03:43 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-26 00:03:43 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-26 00:03:43 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-26 00:03:43 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-26 00:03:55 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:50803]
2018-06-26 00:03:55 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-26 00:03:56 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-26 00:03:56 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-26 00:03:56 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-26 00:03:56 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-26 00:04:00 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:50814]
2018-06-26 00:04:00 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-26 00:05:50 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-26 00:05:50 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-26 00:05:50 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-26 00:05:50 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-26 00:06:45 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:50886]
2018-06-26 00:06:45 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-26 00:07:20 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
