2018-05-24 03:50:03 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:59718]
2018-05-24 03:52:49 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-24 03:52:49 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-24 03:52:49 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-24 03:52:49 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-24 03:52:55 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:59778]
2018-05-24 03:53:09 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-24 03:53:09 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-24 03:53:09 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-24 03:53:09 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-24 03:53:14 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:59876]
2018-05-24 03:55:37 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-24 03:55:37 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-24 03:55:37 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-24 03:55:37 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-24 03:55:43 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:59969]
2018-05-24 03:56:09 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-24 03:56:09 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-24 03:56:09 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-24 03:56:09 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-24 03:56:14 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:60059]
2018-05-24 03:59:56 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-24 03:59:56 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-24 03:59:56 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-24 03:59:56 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-05-24 04:00:02 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:60152]
2018-05-24 04:00:53 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-05-24 04:00:53 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-05-24 04:00:53 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-05-24 04:00:53 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
