2018-05-14 07:17:50 	 [ INFO] 	 <main.go:40>  	 *********************************************
2018-05-14 07:17:50 	 [ INFO] 	 <main.go:41>  	            系统:[IM]版本:[1.0]
2018-05-14 07:17:50 	 [ INFO] 	 <main.go:42>  	 *********************************************
2018-05-14 07:17:50 	 [ INFO] 	 <config.go:70>  	 db:root:root@tcp(127.0.0.1:3306)/gim?parseTime=true&charset=utf8
2018-05-14 07:17:50 	 [ INFO] 	 <config.go:80>  	 连接数据库成功
2018-05-14 07:17:50 	 [ INFO] 	 <httpserver.go:17>  	 Http服务器启动中...
2018-05-14 07:17:50 	 [ INFO] 	 <httpserver.go:20>  	 Http服务器开始监听[:9002]端口
2018-05-14 07:17:50 	 [ INFO] 	 <httpserver.go:21>  	 *********************************************
2018-05-14 07:26:04 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:59817]
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009065,msgId:10186,body:msg7
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526101306,msgId:10199,body:msg11526101306
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009064,msgId:10185,body:msg6
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009062,msgId:10184,body:msg5
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526101298,msgId:10198,body:msg11526101298
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009025,msgId:10182,body:msg3
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009044,msgId:10183,body:msg4
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009014,msgId:10180,body:msg1
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009023,msgId:10181,body:msg2
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009067,msgId:10187,body:msg8
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526100943,msgId:10197,body:msg11526100943
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526187782,msgId:10207,body:msg11526187782
2018-05-14 07:26:04 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526187748,msgId:10206,body:msg11526187748
2018-05-14 07:26:24 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10002 cmd:4
2018-05-14 07:28:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 07:30:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 07:32:04 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 07:34:05 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 07:36:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 07:38:21 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 07:40:06 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 07:40:29 	 [DEBUG] 	 <protocol.go:136>  	 sock read error:EOF
2018-05-14 07:40:29 	 [DEBUG] 	 <client.go:81>  	 EOFconnect offline
2018-05-14 07:40:29 	 [DEBUG] 	 <client.go:146>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-14 07:40:29 	 [DEBUG] 	 <client.go:110>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-14 08:40:19 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:50936]
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009065,msgId:10186,body:msg7
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526101306,msgId:10199,body:msg11526101306
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009064,msgId:10185,body:msg6
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009062,msgId:10184,body:msg5
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526101298,msgId:10198,body:msg11526101298
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009025,msgId:10182,body:msg3
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009044,msgId:10183,body:msg4
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009014,msgId:10180,body:msg1
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009023,msgId:10181,body:msg2
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009067,msgId:10187,body:msg8
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526100943,msgId:10197,body:msg11526100943
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526187782,msgId:10207,body:msg11526187782
2018-05-14 08:40:19 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526187748,msgId:10206,body:msg11526187748
2018-05-14 08:41:33 	 [DEBUG] 	 <protocol.go:136>  	 sock read error:EOF
2018-05-14 08:41:33 	 [DEBUG] 	 <client.go:81>  	 EOFconnect offline
2018-05-14 08:41:33 	 [DEBUG] 	 <client.go:146>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-05-14 08:41:33 	 [DEBUG] 	 <client.go:110>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-05-14 08:41:50 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:50955]
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009065,msgId:10186,body:msg7
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526101306,msgId:10199,body:msg11526101306
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009064,msgId:10185,body:msg6
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009062,msgId:10184,body:msg5
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526101298,msgId:10198,body:msg11526101298
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009025,msgId:10182,body:msg3
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009044,msgId:10183,body:msg4
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009014,msgId:10180,body:msg1
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009023,msgId:10181,body:msg2
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526009067,msgId:10187,body:msg8
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526100943,msgId:10197,body:msg11526100943
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526187782,msgId:10207,body:msg11526187782
2018-05-14 08:41:50 	 [DEBUG] 	 <client_im.go:85>  	 offline msg :sender:10002,receiver:10001,timestamp:1526187748,msgId:10206,body:msg11526187748
2018-05-14 08:43:50 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 08:45:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 08:47:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 08:49:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 08:51:50 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 08:53:51 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 08:55:50 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 08:57:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 08:59:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:01:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:03:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:05:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:07:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:09:50 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:11:50 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:13:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:15:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:17:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:19:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:21:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:23:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:25:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:27:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:29:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:31:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:33:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:35:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:37:51 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:39:50 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:41:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:43:50 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:45:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:47:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:49:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:51:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:53:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:55:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:57:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 09:59:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:01:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:03:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:05:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:07:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:09:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:11:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:13:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:15:52 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:17:50 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:19:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:21:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:23:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:25:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:27:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:29:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:31:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:33:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:35:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:37:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:39:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:41:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:43:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:45:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:47:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:49:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:51:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:53:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:55:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:57:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 10:59:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 11:01:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 11:03:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 11:05:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 11:07:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-05-14 11:09:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
