2018-06-18 00:22:38 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:22:44 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:62052]
2018-06-18 00:22:44 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:24:06 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:24:06 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:24:06 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:24:06 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:24:13 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:62133]
2018-06-18 00:24:13 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:26:13 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 00:27:13 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:27:13 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:27:13 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:27:13 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:27:20 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:62205]
2018-06-18 00:27:20 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:28:00 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:28:00 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:28:00 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:28:00 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:29:43 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:62425]
2018-06-18 00:29:43 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:30:26 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:30:26 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:30:26 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:30:26 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:30:33 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:62479]
2018-06-18 00:30:33 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-18 00:32:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 00:34:35 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 00:36:36 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 00:38:34 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-18 00:39:33 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-18 00:39:33 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-18 00:39:33 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-18 00:39:33 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-18 00:39:41 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:62545]
2018-06-18 00:39:41 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
