2018-06-02 00:26:42 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56121]
2018-06-02 00:26:42 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-02 00:28:44 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-02 00:30:05 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-02 00:30:05 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-02 00:30:05 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-02 00:30:05 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-02 00:33:46 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56153]
2018-06-02 00:33:46 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-02 00:35:48 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-02 00:37:48 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-02 00:38:25 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-02 00:38:25 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-02 00:38:25 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-02 00:38:25 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-02 00:58:43 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56218]
2018-06-02 00:58:43 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-02 01:00:46 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-02 01:02:45 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-02 01:04:46 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-02 01:06:45 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-02 01:08:46 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-02 01:10:45 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-02 01:10:53 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-02 01:10:53 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-02 01:10:53 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-02 01:10:53 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-02 01:12:55 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56256]
2018-06-02 01:12:55 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-02 01:12:55 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-02 01:12:56 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:12:56 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:12:57 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:12:57 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-02 01:12:57 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-02 01:12:57 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-02 01:12:57 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-02 01:13:37 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56258]
2018-06-02 01:13:37 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-02 01:13:37 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:41 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:42 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:42 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:42 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:43 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:43 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:43 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:44 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:44 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:44 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:45 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-02 01:13:45 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-02 01:13:45 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-02 01:13:45 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-02 01:13:46 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56259]
2018-06-02 01:13:46 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-02 01:13:46 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:47 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:13:47 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:14:02 	 [DEBUG] 	 <connection.go:106>  	 TODO(need offline push )can't send message, appid:10 uid:10001 cmd:4
2018-06-02 01:14:26 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-02 01:14:26 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-02 01:14:26 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-02 01:14:26 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-02 01:30:05 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:56370]
