2018-06-10 00:16:03 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:16:03 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:16:05 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51267]
2018-06-10 00:16:34 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:16:34 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:16:34 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-06-10 00:16:34 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-06-10 00:16:46 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51309]
2018-06-10 00:16:46 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:17:09 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:17:09 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:17:09 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:17:09 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:17:22 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51351]
2018-06-10 00:17:22 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:17:56 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:17:56 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:17:56 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:17:56 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:17:58 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51352]
2018-06-10 00:17:58 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:17:59 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:17:59 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:17:59 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:17:59 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:18:02 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51353]
2018-06-10 00:18:02 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:18:03 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:18:03 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:18:03 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:18:03 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:18:04 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51354]
2018-06-10 00:18:52 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:18:52 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:18:52 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-06-10 00:18:52 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-06-10 00:22:17 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51399]
2018-06-10 00:22:17 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:22:29 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:22:29 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:22:29 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:22:29 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:22:30 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51400]
2018-06-10 00:22:30 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:22:32 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:22:32 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:22:32 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:22:32 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:22:33 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51401]
2018-06-10 00:22:33 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:22:35 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:22:35 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:22:35 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:22:35 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:22:36 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51402]
2018-06-10 00:23:15 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:23:15 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:23:15 	 [DEBUG] 	 <client.go:148>  	 close client:0, 
2018-06-10 00:23:15 	 [DEBUG] 	 <client.go:112>  	 client:  0 socket closed
2018-06-10 00:23:40 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51480]
2018-06-10 00:23:40 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:23:44 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:23:44 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:23:44 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-10 00:23:44 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-10 00:23:45 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51481]
2018-06-10 00:23:45 	 [DEBUG] 	 <client_im.go:88>  	 offlineMsg count 0
2018-06-10 00:23:52 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-10 00:23:52 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-10 00:23:52 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
