2018-06-04 00:00:26 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-04 00:00:26 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-04 00:00:26 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-06-04 00:00:26 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-06-04 00:00:42 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:59988]
2018-06-04 00:00:42 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-04 00:02:44 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-04 00:03:28 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-04 00:03:28 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-04 00:03:28 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-06-04 00:03:28 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-06-04 00:03:35 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:60045]
2018-06-04 00:03:35 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-04 00:04:26 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-04 00:04:26 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-04 00:04:26 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-06-04 00:04:26 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-06-04 00:04:34 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:60123]
2018-06-04 00:04:34 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-04 00:04:56 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-04 00:04:56 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-04 00:04:56 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-06-04 00:04:56 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-06-04 00:05:07 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:60138]
2018-06-04 00:05:07 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-04 00:06:20 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-04 00:06:20 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-04 00:06:20 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-06-04 00:06:20 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-06-04 00:06:27 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:60212]
2018-06-04 00:06:27 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-04 00:06:39 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-04 00:06:39 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-04 00:06:39 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-06-04 00:06:39 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-06-04 00:06:46 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[127.0.0.1:60250]
2018-06-04 00:06:46 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 0
2018-06-04 00:06:52 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-04 00:06:52 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-04 00:06:52 	 [DEBUG] 	 <client.go:148>  	 close client:10001, d5f75fbc-4f64-4f78-b320-2ca770847800
2018-06-04 00:06:52 	 [DEBUG] 	 <client.go:112>  	 client: d5f75fbc-4f64-4f78-b320-2ca770847800 10001 socket closed
2018-06-04 00:07:47 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:49210]
2018-06-04 00:07:47 	 [DEBUG] 	 <client_im.go:85>  	 offlineMsg count 37
2018-06-04 00:07:47 	 [DEBUG] 	 <client_im.go:99>  	 offline msg :sender:10001,receiver:10002,timestamp:1528029434,msgId:11128,body:{"ack_msgId":11094,"ack_uuid":"815EEF1F-DD55-4977-99CE-6F83904605C9","sequeneceId":0,"status":2,"type":20,"uuid":"00D45FB9-E0B7-4779-8890-6A07BB9F8F74"}
2018-06-04 00:07:47 	 [DEBUG] 	 <client_im.go:99>  	 offline msg :sender:10001,receiver:10002,timestamp:1528029434,msgId:11129,body:{"ack_msgId":11095,"ack_uuid":"1BB5F8E6-7F1A-4660-9B57-1C16B66625FC","sequeneceId":0,"status":2,"type":20,"uuid":"6274AB84-651E-4E4F-930E-090BE3D7DB9C"}
2018-06-04 00:07:47 	 [DEBUG] 	 <client_im.go:99>  	 offline msg :sender:10001,receiver:10002,timestamp:1528029434,msgId:11130,body:{"ack_msgId":11105,"ack_uuid":"B78F4A5A-EFCA-4D1F-8A3A-C0FDD7BDD031","sequeneceId":0,"status":2,"type":20,"uuid":"EEBC6C8E-3A1E-499F-8176-AECCE82FD047"}
2018-06-04 00:07:47 	 [DEBUG] 	 <client_im.go:99>  	 offline msg :sender:10001,receiver:10002,timestamp:1528029434,msgId:11131,body:{"ack_msgId":11110,"ack_uuid":"30674FD1-A812-4164-AD46-70C0C521F756","sequeneceId":0,"status":2,"type":20,"uuid":"986D83AB-BA40-40D1-8788-B502AB69FE9E"}
2018-06-04 00:07:47 	 [DEBUG] 	 <client_im.go:99>  	 offline msg :sender:10001,receiver:10002,timestamp:1528029434,msgId:11132,body:{"ack_msgId":11096,"ack_uuid":"34C433B9-B2C4-4D50-900D-9BADC568267C","sequeneceId":0,"status":2,"type":20,"uuid":"FCA3E652-7D34-43E4-BE12-E02DB529F5AE"}
2018-06-04 00:07:47 	 [DEBUG] 	 <client_im.go:99>  	 offline msg :sender:10001,receiver:10002,timestamp:1528029434,msgId:11133,body:{"ack_msgId":11097,"ack_uuid":"87764878-DD2C-4E41-AC44-21E1A4CBF985","sequeneceId":0,"status":2,"type":20,"uuid":"170B0474-908C-4348-BEA3-177000760716"}
2018-06-04 00:07:47 	 [DEBUG] 	 <client_im.go:99>  	 offline msg :sender:10001,receiver:10002,timestamp:1528029434,msgId:11134,body:{"ack_msgId":11098,"ack_uuid":"75FAD0E8-1C8F-49B4-86AE-1EAA962BF1B3","sequeneceId":0,"status":2,"type":20,"uuid":"111152E7-4837-4276-9068-9484D0E338CC"}
