2018-06-21 14:30:08 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:58484]
2018-06-21 14:30:08 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-21 14:30:43 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-21 14:30:43 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-21 14:30:43 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-21 14:30:43 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-21 14:30:45 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:58485]
2018-06-21 14:30:45 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 0
2018-06-21 14:32:46 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-21 14:34:00 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-21 14:34:00 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-21 14:34:00 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-21 14:34:00 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-21 14:36:03 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.41:51812]
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:90>  	 offlineMsg count 11
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:104>  	 offline msg :sender:10002,receiver:10001,timestamp:1529493872,msgId:748,body:{"content":"😏😏","receiver_id":"d5f75fbc-4f64-4f78-b320-2ca770847800","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","type":1,"uuid":"DCE35344-A9AA-4485-A63F-8AA2FDA8F143"}
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:104>  	 offline msg :sender:10002,receiver:10001,timestamp:1529493875,msgId:749,body:{"content":"和你说","receiver_id":"d5f75fbc-4f64-4f78-b320-2ca770847800","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","type":1,"uuid":"CF82053C-9CFE-401A-AB1A-3CC288ED4C6E"}
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:104>  	 offline msg :sender:10002,receiver:10001,timestamp:1529493988,msgId:750,body:{"content":"👻","receiver_id":"d5f75fbc-4f64-4f78-b320-2ca770847800","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","type":1,"uuid":"A7BF05EB-E4C4-4F3B-B25E-086AE5986990"}
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:104>  	 offline msg :sender:10002,receiver:10001,timestamp:1529493991,msgId:751,body:{"content":"👻👻","receiver_id":"d5f75fbc-4f64-4f78-b320-2ca770847800","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","type":1,"uuid":"A83CFA0C-62F0-4CBD-B9E7-12B84212CABD"}
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:104>  	 offline msg :sender:10002,receiver:10001,timestamp:1529494020,msgId:752,body:{"content":"\n\tdevice.UserId = \"\"\n\tsUser.Nick = \"\"","receiver_id":"d5f75fbc-4f64-4f78-b320-2ca770847800","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","type":1,"uuid":"F8F99C04-DF11-4397-8B91-1138059D5738"}
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:104>  	 offline msg :sender:10002,receiver:10001,timestamp:1529494040,msgId:753,body:{"content":"啊哟","receiver_id":"d5f75fbc-4f64-4f78-b320-2ca770847800","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","type":1,"uuid":"A1BB3FB4-A2DB-4D8A-B8AF-D6F6AED4EF9C"}
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:104>  	 offline msg :sender:10002,receiver:10001,timestamp:1529494089,msgId:754,body:{"content":"😏","receiver_id":"d5f75fbc-4f64-4f78-b320-2ca770847800","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","type":1,"uuid":"36652C16-3A94-4668-AC38-0C2DD7F28A49"}
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:104>  	 offline msg :sender:10002,receiver:10001,timestamp:1529500869,msgId:755,body:{"content":"Ada","receiver_id":"d5f75fbc-4f64-4f78-b320-2ca770847800","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","type":1,"uuid":"78670C37-C11F-4BFC-A132-E2DD53804ADC"}
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:104>  	 offline msg :sender:10002,receiver:10001,timestamp:1529500902,msgId:756,body:{"content":"Aaa","receiver_id":"d5f75fbc-4f64-4f78-b320-2ca770847800","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","type":1,"uuid":"EE132D11-83A8-4A1B-91B9-D14FBAF0247F"}
2018-06-21 14:36:03 	 [DEBUG] 	 <client_im.go:104>  	 offline msg :sender:10002,receiver:10001,timestamp:1529500905,msgId:757,body:{"content":"2323232323","receiver_id":"d5f75fbc-4f64-4f78-b320-2ca770847800","sender_id":"80d07eb7-09d5-4332-aa4d-01990a291dfd","type":1,"uuid":"1E5D76DE-BDCD-4456-BC9E-2E5D2BD25B5C"}
