2018-06-25 14:48:31 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63172]
2018-06-25 14:48:31 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 14:48:34 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 14:48:34 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 14:48:34 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 14:48:34 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 14:48:47 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63192]
2018-06-25 14:48:47 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 14:49:04 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 14:49:04 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 14:49:04 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 14:49:04 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 14:49:17 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63212]
2018-06-25 14:49:17 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 14:49:39 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 14:49:39 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 14:49:39 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 14:49:39 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 14:49:52 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63234]
2018-06-25 14:49:52 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 14:51:53 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-25 14:52:00 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 14:52:00 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 14:52:00 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 14:52:00 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 14:52:13 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63256]
2018-06-25 14:52:13 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 14:53:52 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 14:53:52 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 14:53:52 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 14:53:52 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 14:53:58 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63257]
2018-06-25 14:53:58 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 14:54:14 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-25 14:56:04 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 14:56:04 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 14:56:04 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 14:56:04 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 14:56:20 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63282]
2018-06-25 14:56:20 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 14:58:21 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-25 15:00:22 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-25 15:00:44 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 15:00:44 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 15:00:44 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 15:00:44 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 15:00:58 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63304]
2018-06-25 15:00:58 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 15:01:23 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 15:01:23 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 15:01:23 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 15:01:23 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 15:01:36 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63324]
2018-06-25 15:01:36 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 15:01:36 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 15:01:36 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 15:01:36 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 15:01:36 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 15:01:48 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63327]
2018-06-25 15:01:48 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 15:02:58 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 15:02:58 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 15:02:58 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 15:02:58 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 15:03:11 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63349]
2018-06-25 15:03:11 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 15:04:24 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 15:04:24 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 15:04:24 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 15:04:24 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 15:04:37 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63371]
2018-06-25 15:04:37 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 15:06:38 	 [DEBUG] 	 <client_heartbeat.go:9>  	 heartBeet
2018-06-25 15:07:46 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
2018-06-25 15:07:46 	 [DEBUG] 	 <client.go:83>  	 EOFconnect offline
2018-06-25 15:07:46 	 [DEBUG] 	 <client.go:148>  	 close client:10002, 80d07eb7-09d5-4332-aa4d-01990a291dfd
2018-06-25 15:07:46 	 [DEBUG] 	 <client.go:112>  	 client: 80d07eb7-09d5-4332-aa4d-01990a291dfd 10002 socket closed
2018-06-25 15:07:59 	 [DEBUG] 	 <tcp.go:32>  	 新连接地址为:[192.168.31.82:63393]
2018-06-25 15:07:59 	 [DEBUG] 	 <client_im.go:91>  	 offlineMsg count 0
2018-06-25 15:08:34 	 [DEBUG] 	 <protocol.go:134>  	 sock read error:EOF
